evaluation_id,candidate_sk,technology_sk,location_sk,application_date_sk,years_of_experience,code_challenge_score,technical_interview_score,is_hired
58,58,49,43,20211001,27,6,1,0
59,59,50,51,20180611,27,3,8,0
60,60,11,52,20210101,4,9,4,0
61,61,51,53,20190604,11,6,5,0
62,62,52,54,20180828,4,6,3,0
63,63,53,55,20180430,5,5,7,0
64,64,54,56,20220113,21,5,10,0
65,65,20,57,20210124,30,9,8,1
66,66,44,58,20180525,7,2,2,0
67,67,55,59,20200126,18,4,1,0
68,68,56,60,20210718,25,10,5,0
69,69,3,31,20220411,9,4,3,0
70,70,57,61,20211014,30,9,3,0
71,71,4,62,20180908,19,7,5,0
72,72,58,36,20200102,29,5,6,0
73,73,18,63,20191220,10,8,3,0
74,74,59,64,20210711,19,10,6,0
75,75,60,47,20180717,16,5,0,0
76,76,29,65,20210721,15,0,1,0
77,77,57,66,20201109,10,7,2,0
78,78,61,4,20180809,13,4,1,0
79,79,62,67,20200106,7,8,0,0
80,80,8,68,20190306,11,5,10,0
81,81,63,69,20191214,11,10,2,0
82,82,64,7,20191210,12,1,9,0
83,83,65,70,20180901,9,7,5,0
84,84,6,17,20181023,15,6,10,0
85,85,66,71,20201018,18,1,8,0
86,86,57,72,20211202,29,2,6,0
87,87,67,73,20210627,17,9,4,0
88,88,68,74,20201123,30,6,10,0
89,89,69,75,20220617,7,7,9,1
90,90,14,76,20211105,10,2,8,0
91,91,70,77,20200715,15,6,3,0
92,92,71,78,20201102,4,1,1,0
93,93,72,79,20191125,2,5,7,0
94,94,69,80,20180107,8,5,2,0
95,95,73,81,20180427,10,7,7,1
96,96,56,82,20180321,22,0,0,0
97,97,74,83,20181006,5,8,4,0
98,98,75,84,20190321,12,3,0,0
99,99,76,85,20210218,1,4,6,0
100,100,67,86,20210127,11,10,10,1
101,101,41,87,20190217,25,0,4,0
102,102,77,88,20200403,3,3,6,0
103,103,67,89,20180718,2,8,10,1
104,104,78,90,20190214,4,7,6,0
105,105,42,91,20200815,5,9,3,0
106,106,9,92,20181206,20,9,2,0
107,107,79,20,20220211,3,10,10,1
108,108,80,93,20181211,10,4,5,0
109,109,77,65,20200611,5,4,1,0
110,110,81,72,20220208,6,1,2,0
111,111,36,94,20211214,10,3,7,0
112,112,82,75,20211123,1,10,8,1
113,113,83,95,20210430,8,4,4,0
114,114,84,96,20181219,25,7,9,1
115,115,85,97,20181001,30,9,0,0
116,116,26,98,20190618,13,6,0,0
117,117,86,13,20180119,11,6,8,0
118,118,87,78,20201103,24,10,3,0
119,119,48,54,20180903,12,8,5,0
120,120,45,99,20190430,20,7,5,0
121,121,88,63,20180208,17,1,7,0
122,122,9,100,20180808,28,5,8,0
123,123,89,101,20200523,12,9,10,1
124,124,21,90,20201207,7,3,5,0
125,125,12,102,20181106,29,3,1,0
126,126,54,102,20210112,16,5,7,0
127,127,49,36,20190221,17,0,4,0
128,128,90,50,20220217,21,2,7,0
129,129,44,98,20200620,19,2,10,0
130,130,91,96,20210822,21,3,3,0
131,131,11,74,20190203,2,1,6,0
132,132,92,103,20210828,0,6,6,0
133,133,16,25,20180727,21,10,5,0
134,134,22,104,20190103,21,6,0,0
135,135,93,105,20180221,15,0,3,0
136,136,94,81,20190322,23,9,1,0
137,137,95,106,20180519,2,1,0,0
138,138,75,107,20220227,24,8,10,1
139,139,10,108,20180326,24,0,7,0
140,140,96,109,20180402,23,10,3,0
141,141,3,110,20190126,30,2,8,0
142,142,97,21,20220620,29,9,8,1
143,143,8,111,20181223,16,1,10,0
144,144,89,6,20200522,0,5,6,0
145,145,95,53,20190723,4,8,6,0
146,146,98,112,20191226,12,3,6,0
147,147,99,59,20210427,10,1,2,0
148,148,100,79,20181227,10,1,3,0
149,149,7,95,20200814,22,4,10,0
150,150,101,113,20190227,23,10,3,0
151,151,21,85,20210221,29,6,6,0
152,152,102,112,20210213,30,8,9,1
153,153,103,114,20190315,1,7,2,0
154,154,48,115,20220409,16,7,2,0
155,155,37,112,20220626,19,5,7,0
156,156,86,116,20200207,30,6,0,0
157,157,89,108,20180309,1,8,4,0
158,158,7,117,20190812,28,0,2,0
159,159,75,118,20220323,26,3,8,0
160,160,80,58,20181130,13,0,5,0
161,161,22,119,20200425,14,0,2,0
162,162,104,96,20180731,18,5,0,0
163,163,62,120,20201225,1,1,0,0
164,164,105,87,20210124,17,1,7,0
165,165,9,121,20200510,24,1,5,0
166,166,106,122,20201214,14,4,10,0
167,167,42,123,20220101,7,6,3,0
168,168,73,124,20180604,6,2,3,0
169,169,63,49,20190605,13,3,10,0
170,170,36,118,20220320,11,7,7,1
171,171,77,19,20180125,8,7,9,1
172,172,74,125,20210124,10,3,9,0
173,173,7,126,20201021,22,6,7,0
174,174,96,97,20181215,12,5,5,0
175,175,107,13,20220517,20,10,9,1
176,176,108,44,20190605,2,4,8,0
177,177,86,127,20190919,1,0,9,0
178,178,13,49,20180713,13,0,3,0
179,179,109,21,20211127,2,6,10,0
180,180,94,128,20220607,27,10,4,0
181,181,65,34,20220428,29,1,0,0
182,182,45,31,20220621,1,8,9,1
183,183,12,104,20190402,18,8,7,1
184,184,56,129,20190418,25,9,3,0
185,185,44,97,20200715,12,8,9,1
186,186,110,95,20210923,16,8,4,0
187,187,103,130,20210301,30,1,5,0
188,188,94,131,20200322,25,2,7,0
189,189,111,132,20211214,4,1,6,0
190,190,100,83,20200312,27,6,3,0
191,191,84,133,20190216,26,7,10,1
192,192,17,56,20220329,12,4,0,0
193,193,2,47,20220331,12,7,1,0
194,194,112,6,20190403,23,6,2,0
195,195,113,134,20191104,25,7,4,0
196,196,102,107,20190303,19,5,8,0
197,197,80,135,20191230,11,10,7,1
198,198,63,21,20200515,1,6,8,0
199,199,78,136,20200626,19,6,4,0
200,200,103,111,20201026,21,8,4,0
201,201,114,71,20210530,8,3,2,0
202,202,115,77,20190818,11,9,4,0
203,203,90,137,20200420,8,5,7,0
204,204,116,138,20191116,7,3,1,0
205,205,72,139,20220215,21,1,6,0
206,206,11,140,20190721,15,2,6,0
207,207,92,141,20181226,25,7,6,0
208,208,9,142,20190427,30,4,10,0
209,209,44,143,20180925,13,1,5,0
210,210,105,41,20201126,12,8,3,0
211,211,2,144,20211104,7,8,0,0
212,212,101,42,20181119,24,2,2,0
213,213,117,136,20180607,12,5,3,0
214,214,28,78,20200127,4,10,9,1
215,215,107,145,20210119,21,10,2,0
216,216,54,146,20201130,30,8,7,1
217,217,51,147,20190325,4,6,6,0
218,218,9,31,20190211,29,5,2,0
219,219,57,96,20180805,28,0,0,0
220,220,31,65,20220510,14,1,7,0
221,221,7,148,20210730,15,7,8,1
222,222,98,149,20200418,9,3,1,0
223,223,47,142,20200729,9,0,5,0
224,224,44,96,20200111,5,3,3,0
225,225,118,150,20180522,3,10,2,0
226,226,62,46,20220630,24,6,0,0
227,227,119,141,20180923,27,0,6,0
228,228,120,107,20210531,17,10,3,0
229,229,9,150,20201110,20,3,3,0
230,230,7,112,20200410,28,8,9,1
231,231,18,27,20211109,10,2,9,0
232,232,24,151,20190812,30,3,9,0
233,233,37,36,20220505,4,5,6,0
234,234,62,152,20190626,7,5,2,0
235,235,19,153,20180526,14,5,2,0
236,236,121,56,20210721,19,4,3,0
237,237,21,154,20191110,2,4,1,0
238,238,73,102,20180309,29,4,8,0
239,239,83,92,20201119,27,1,0,0
240,240,79,9,20211111,23,9,7,1
241,241,103,129,20200424,24,0,5,0
242,242,42,155,20210902,9,5,0,0
243,243,60,59,20220504,26,0,1,0
244,244,44,131,20220316,17,3,3,0
245,245,112,43,20191130,5,3,4,0
246,246,31,51,20210615,22,5,6,0
247,247,122,152,20210529,29,4,7,0
248,248,115,72,20180919,24,10,5,0
249,249,123,34,20220606,14,2,6,0
250,250,36,90,20220614,3,10,2,0
251,251,110,40,20201003,2,10,4,0
252,252,124,156,20220311,21,8,0,0
253,253,17,63,20201210,7,2,10,0
254,254,4,90,20180917,16,5,7,0
255,255,37,156,20190822,25,6,2,0
256,256,57,2,20210124,20,6,8,0
257,257,67,80,20200906,28,6,4,0
258,258,64,14,20210418,16,5,4,0
259,259,125,30,20180922,14,1,10,0
260,260,115,157,20180924,25,6,8,0
261,261,119,61,20191217,16,7,5,0
262,262,71,158,20181204,2,0,0,0
263,263,88,146,20220222,22,6,0,0
264,264,70,149,20181127,10,4,6,0
265,265,39,99,20200108,3,10,1,0
266,266,126,159,20180315,18,4,1,0
267,267,63,160,20180917,15,2,10,0
268,268,60,114,20191229,2,7,9,1
269,269,126,161,20200626,29,4,5,0
270,270,109,13,20180228,12,1,3,0
271,271,63,162,20180711,5,0,0,0
272,272,26,37,20190918,0,1,6,0
273,273,127,157,20181211,27,5,1,0
274,274,78,44,20190721,9,4,7,0
275,275,14,163,20210307,4,2,10,0
276,276,128,164,20220308,13,0,7,0
277,277,52,162,20220417,6,7,1,0
278,278,14,34,20180310,13,5,8,0
279,279,96,30,20200914,26,2,8,0
280,280,129,165,20191125,3,6,8,0
281,281,120,161,20200516,23,2,2,0
282,282,36,18,20180901,12,6,0,0
283,283,35,166,20200827,30,9,8,1
284,284,37,46,20210517,26,8,5,0
285,285,110,22,20200614,13,10,5,0
286,286,123,167,20181130,17,7,4,0
287,287,130,15,20180101,25,9,3,0
288,288,131,85,20201025,18,4,5,0
289,289,8,115,20220209,22,6,10,0
290,290,132,168,20180313,19,7,7,1
291,291,133,157,20200406,9,6,8,0
292,292,32,18,20200604,1,8,2,0
293,293,120,137,20220622,9,2,8,0
294,294,130,18,20211203,23,0,4,0
295,295,90,47,20200424,6,1,1,0
296,296,59,49,20191125,10,5,7,0
297,297,10,90,20200911,18,9,1,0
298,298,74,169,20180813,28,5,10,0
299,299,73,144,20180524,25,10,0,0
300,300,128,143,20200125,10,9,8,1
301,301,134,170,20211123,7,5,9,0
302,302,56,171,20201020,9,10,1,0
303,303,92,22,20190126,13,2,10,0
304,304,66,55,20190513,19,6,9,0
305,305,25,99,20190411,23,0,10,0
306,306,88,65,20190522,26,8,4,0
307,307,23,172,20200331,25,2,8,0
308,308,135,173,20210308,9,9,6,0
309,309,1,174,20180728,6,1,6,0
310,310,96,36,20210820,21,6,9,0
311,311,83,124,20220402,29,9,9,1
312,312,113,85,20211101,18,9,10,1
313,313,13,175,20200103,18,9,5,0
314,314,136,176,20180328,19,7,10,1
315,315,123,123,20201027,24,8,4,0
316,316,92,177,20180311,6,3,7,0
317,317,48,178,20201128,25,7,9,1
318,318,97,24,20220703,22,9,6,0
319,319,60,86,20191213,13,3,8,0
320,320,59,179,20180912,28,10,4,0
321,321,129,147,20220308,0,4,9,0
322,322,9,44,20201221,1,3,1,0
323,323,41,75,20190211,29,0,1,0
324,324,137,120,20181220,7,4,2,0
325,325,95,180,20200601,10,4,10,0
326,326,93,45,20181208,16,1,4,0
327,327,138,181,20181002,19,9,10,1
328,328,120,88,20181121,24,10,8,1
329,329,139,140,20211118,13,9,0,0
330,330,89,33,20190404,7,3,3,0
331,331,88,182,20200127,4,0,0,0
332,332,140,183,20200203,21,0,4,0
333,333,49,10,20180303,9,10,5,0
334,334,39,184,20180531,28,7,7,1
335,335,116,101,20191104,4,10,2,0
336,336,21,185,20200101,2,4,2,0
337,337,110,105,20190714,11,5,1,0
338,338,132,25,20200627,8,4,2,0
339,339,15,186,20220323,11,6,5,0
340,340,116,187,20200630,4,5,2,0
341,341,40,138,20190710,16,10,0,0
342,342,23,154,20181118,27,0,7,0
343,343,75,143,20190517,26,0,7,0
344,344,77,151,20180207,0,5,5,0
345,345,18,188,20190705,27,6,6,0
346,346,43,189,20210813,5,9,1,0
347,347,46,182,20211225,25,8,10,1
348,348,72,168,20210203,28,9,6,0
349,349,141,99,20200526,25,6,9,0
350,350,142,40,20180513,13,1,7,0
351,351,137,190,20191222,10,2,3,0
352,352,23,6,20220204,15,6,9,0
353,353,65,152,20181221,29,4,9,0
354,354,28,110,20180921,11,6,0,0
355,355,88,191,20181113,11,3,4,0
356,356,87,86,20200325,12,5,0,0
357,357,17,62,20220511,17,6,5,0
358,358,6,165,20181207,29,1,3,0
359,359,77,143,20200907,15,7,5,0
360,360,11,71,20180411,16,10,8,1
361,361,66,83,20210515,11,9,7,1
362,362,28,192,20190405,12,0,1,0
363,363,143,193,20180618,12,3,3,0
364,364,39,57,20200324,10,2,0,0
365,365,72,73,20181113,28,3,8,0
366,366,115,158,20200502,10,4,8,0
367,367,144,87,20181210,12,7,10,1
368,368,112,1,20180723,27,5,7,0
369,369,19,162,20201027,13,2,6,0
370,370,68,55,20200705,20,7,3,0
371,371,88,1,20180522,12,1,6,0
372,372,138,137,20181207,18,4,3,0
373,373,106,24,20200423,4,0,8,0
374,374,89,194,20201116,26,7,10,1
375,375,103,174,20211005,17,0,7,0
376,376,68,189,20201226,30,5,10,0
377,377,14,195,20181204,6,8,4,0
378,378,60,14,20211227,24,10,4,0
379,379,13,17,20180302,9,10,2,0
380,380,85,56,20181107,20,5,4,0
381,381,145,186,20220526,19,1,6,0
382,382,96,116,20191123,19,2,0,0
383,383,146,196,20211116,2,6,4,0
384,384,78,41,20200325,28,1,7,0
385,385,94,77,20180722,2,0,2,0
386,386,72,77,20211124,17,6,8,0
387,387,127,108,20180311,3,7,1,0
388,388,3,142,20191105,28,6,10,0
389,389,147,91,20210529,6,6,4,0
390,390,45,197,20181005,13,9,7,1
391,391,114,179,20190708,28,8,7,1
392,392,138,141,20200412,29,7,7,1
393,393,147,192,20180118,19,2,8,0
394,394,148,198,20180417,11,10,1,0
395,395,34,199,20200129,29,0,0,0
396,396,149,20,20190318,4,8,2,0
397,397,29,11,20200707,30,10,2,0
398,398,84,184,20210820,7,8,6,0
399,399,150,123,20211223,23,10,5,0
400,400,21,88,20210303,10,8,10,1
401,401,30,49,20180824,7,2,2,0
402,402,64,180,20220403,28,3,2,0
403,403,98,200,20190714,1,0,6,0
404,404,66,190,20181205,10,0,1,0
405,405,61,17,20201116,26,6,6,0
406,406,83,17,20190323,23,5,2,0
407,407,76,201,20220508,11,0,4,0
408,408,7,176,20220701,18,5,8,0
409,409,35,10,20181107,20,3,6,0
410,410,3,202,20210319,20,10,3,0
411,411,121,25,20180125,9,10,8,1
412,412,97,67,20190817,5,0,1,0
413,413,127,19,20210324,2,8,10,1
414,414,57,176,20220316,12,10,3,0
415,415,78,203,20201106,15,4,10,0
416,416,55,26,20210728,5,2,10,0
417,417,94,172,20201011,11,10,7,1
418,418,52,204,20210522,15,2,3,0
419,419,150,111,20210802,13,3,10,0
420,420,128,42,20220625,30,8,0,0
421,421,80,164,20180816,17,3,7,0
422,422,9,70,20181204,7,3,1,0
423,423,81,28,20200830,10,8,2,0
424,424,61,10,20220123,15,5,3,0
425,425,136,142,20220203,12,9,5,0
426,426,136,134,20210320,23,10,8,1
427,427,17,170,20210626,11,7,4,0
428,428,151,205,20180412,18,1,9,0
429,429,20,6,20200226,5,5,0,0
430,430,2,68,20200305,9,7,8,1
431,431,89,58,20200211,30,2,10,0
432,432,9,181,20200805,29,0,0,0
433,433,40,141,20211118,2,10,1,0
434,434,72,204,20211123,12,9,1,0
435,435,3,206,20180702,30,8,3,0
436,436,78,207,20210322,10,2,6,0
437,437,85,121,20191230,21,0,10,0
438,438,23,208,20180702,12,3,7,0
439,439,125,100,20200821,3,3,6,0
440,440,50,7,20201206,29,6,1,0
441,441,60,187,20210424,13,1,7,0
442,442,121,35,20210917,30,0,4,0
443,443,98,197,20190326,1,6,5,0
444,444,60,209,20200113,29,2,5,0
445,445,126,85,20191216,1,1,2,0
446,446,14,38,20180608,18,6,2,0
447,447,152,171,20210724,15,1,4,0
448,448,153,29,20201213,6,2,2,0
449,449,35,49,20200526,19,4,0,0
450,450,81,36,20200502,22,4,6,0
451,451,31,173,20211216,8,4,7,0
452,452,154,87,20190124,2,5,10,0
453,453,108,129,20190315,24,7,7,1
454,454,46,50,20201202,14,2,10,0
455,455,69,127,20201008,26,3,9,0
456,456,4,210,20180615,24,10,2,0
457,457,59,135,20210609,19,10,9,1
458,458,23,74,20210625,14,9,4,0
459,459,97,174,20180714,15,4,9,0
460,460,102,206,20180107,14,8,7,1
461,461,146,115,20181206,20,0,10,0
462,462,15,145,20180604,29,0,3,0
463,463,67,94,20190204,17,1,0,0
464,464,143,211,20210420,18,5,6,0
465,465,4,40,20190606,16,6,0,0
466,466,2,211,20220215,27,8,3,0
467,467,131,52,20210703,16,2,4,0
468,468,155,187,20210813,21,2,9,0
469,469,24,65,20180909,10,8,8,1
470,470,149,181,20220531,4,10,9,1
471,471,73,75,20191016,10,10,8,1
472,472,156,114,20211120,22,4,9,0
473,473,92,102,20200913,19,0,10,0
474,474,1,187,20200827,15,10,10,1
475,475,80,31,20220628,14,9,9,1
476,476,4,16,20200205,29,5,6,0
477,477,136,20,20180106,16,8,7,1
478,478,157,61,20190514,6,3,3,0
479,479,27,91,20190528,1,4,5,0
480,480,144,1,20211005,5,8,1,0
481,481,110,172,20201002,23,6,1,0
482,482,124,12,20190316,6,2,1,0
483,483,104,180,20200118,14,6,3,0
484,484,80,19,20201118,20,5,8,0
485,485,21,197,20220508,30,9,2,0
486,486,26,48,20220517,0,9,10,1
487,487,43,108,20180403,22,8,3,0
488,488,126,138,20210223,7,2,8,0
489,489,15,91,20191118,1,1,1,0
490,490,86,183,20210209,15,2,1,0
491,491,135,52,20211225,10,3,10,0
492,492,59,188,20210807,0,4,9,0
493,493,151,212,20190417,20,1,7,0
494,494,101,130,20220306,14,10,3,0
495,495,129,104,20200202,23,4,9,0
496,496,13,5,20210913,17,7,10,1
497,497,123,85,20180505,7,0,4,0
498,498,8,112,20220211,20,3,2,0
499,499,50,213,20200824,15,4,3,0
500,500,34,135,20211015,17,10,5,0
501,501,102,214,20220618,21,9,9,1
502,502,123,155,20200913,18,10,10,1
503,503,9,73,20190720,6,5,4,0
504,504,64,7,20210414,23,0,1,0
505,505,14,130,20210825,21,5,1,0
506,506,158,131,20180113,23,8,8,1
507,507,103,45,20220106,15,4,5,0
508,508,110,196,20220519,8,0,1,0
509,509,135,28,20190910,16,7,6,0
510,510,11,68,20220614,17,8,0,0
511,511,136,89,20220409,23,9,5,0
512,512,85,126,20200821,2,9,9,1
513,513,101,181,20181122,26,4,10,0
514,514,62,140,20220102,9,0,6,0
515,515,19,61,20220109,29,6,4,0
516,516,76,176,20180920,20,10,10,1
517,517,102,205,20211228,23,7,5,0
518,518,139,215,20191121,23,4,1,0
519,519,18,129,20211018,18,9,3,0
520,520,82,216,20200322,17,0,4,0
521,521,126,145,20180228,5,4,4,0
522,522,18,112,20190904,3,3,10,0
523,523,14,86,20220621,18,2,8,0
524,524,156,26,20180923,29,10,6,0
525,525,135,58,20190706,28,5,5,0
526,526,13,30,20180515,28,4,7,0
527,527,55,12,20200710,30,2,10,0
528,528,127,122,20220515,29,9,4,0
529,529,131,72,20190111,3,5,5,0
530,530,106,114,20201118,23,7,7,1
531,531,39,111,20190628,22,3,10,0
532,532,13,9,20191208,14,9,8,1
533,533,32,8,20181014,28,0,10,0
534,534,121,148,20190717,8,1,6,0
535,535,98,217,20200630,20,0,4,0
536,536,116,61,20220501,1,1,7,0
537,537,99,218,20210803,18,7,0,0
538,538,159,123,20200308,10,1,3,0
539,539,118,1,20211231,8,1,5,0
540,540,122,146,20211028,13,9,4,0
541,541,151,144,20210424,23,9,8,1
542,542,72,166,20220527,20,10,1,0
543,543,158,176,20210804,17,4,3,0
544,544,159,177,20191121,15,6,8,0
545,545,69,18,20191221,26,1,3,0
546,546,158,81,20210612,19,9,0,0
547,547,119,219,20200810,10,3,3,0
548,548,22,220,20200604,14,0,1,0
549,549,97,198,20180901,15,4,4,0
550,550,15,146,20190915,11,1,10,0
551,551,104,102,20190602,4,1,7,0
552,552,38,221,20191104,2,6,2,0
553,553,13,162,20190202,1,5,3,0
554,554,116,147,20220521,3,0,10,0
555,555,16,222,20200322,3,10,3,0
556,556,45,104,20200703,29,2,7,0
557,557,118,58,20180628,28,7,10,1
558,558,73,16,20210902,4,4,0,0
559,559,76,4,20200424,22,8,9,1
560,560,160,129,20201211,3,8,8,1
561,561,1,169,20201018,26,3,8,0
562,562,84,223,20181023,12,6,2,0
563,563,18,41,20210322,3,9,2,0
564,564,91,224,20220422,24,8,8,1
565,565,153,127,20190316,20,3,4,0
566,566,138,196,20220103,19,2,10,0
567,567,135,135,20220317,19,9,1,0
568,568,48,161,20210713,19,10,8,1
569,569,84,11,20200514,7,7,8,1
570,570,99,148,20200416,23,7,4,0
571,571,71,28,20180126,30,2,6,0
572,572,111,59,20210614,16,3,3,0
573,573,54,41,20200930,26,1,7,0
574,574,108,194,20210519,1,3,10,0
575,575,127,166,20220106,7,7,2,0
576,576,8,202,20210510,13,10,3,0
577,577,48,123,20200702,22,7,4,0
578,578,100,152,20200825,16,5,5,0
579,579,136,92,20200209,27,9,0,0
580,580,148,99,20200817,3,1,0,0
581,581,144,225,20200709,4,0,9,0
582,582,53,75,20180813,14,0,4,0
583,583,119,95,20180924,14,0,6,0
584,584,139,133,20180328,19,9,2,0
585,585,113,25,20220519,12,4,1,0
586,586,105,82,20210215,27,6,6,0
587,587,6,205,20200710,12,5,4,0
588,588,12,133,20200216,19,6,4,0
589,589,106,153,20190131,13,2,4,0
590,590,111,113,20180612,28,9,1,0
591,591,161,19,20180311,16,0,8,0
592,592,107,62,20190115,6,2,6,0
593,593,108,25,20190305,30,8,1,0
594,594,14,69,20220106,12,1,8,0
595,595,122,23,20200327,18,10,2,0
596,596,106,79,20181114,5,8,6,0
597,597,148,76,20190113,4,10,10,1
598,598,44,109,20180711,27,0,6,0
599,599,14,226,20180412,30,8,8,1
600,600,144,105,20190420,20,2,4,0
601,601,106,74,20210220,3,9,9,1
602,602,42,174,20210224,15,10,3,0
603,603,57,227,20180625,1,6,10,0
604,604,96,228,20180728,10,2,3,0
605,605,92,76,20220513,18,8,9,1
606,606,151,18,20200612,10,7,2,0
607,607,40,217,20200621,10,8,5,0
608,608,115,9,20210418,16,10,3,0
609,609,10,93,20181209,22,0,1,0
610,610,80,195,20220217,17,2,1,0
611,611,43,99,20210418,20,3,8,0
612,612,101,214,20210817,7,10,5,0
613,613,74,131,20181227,10,7,9,1
614,614,145,129,20180508,22,10,8,1
615,615,60,224,20211029,12,7,7,1
616,616,49,168,20210905,16,5,10,0
617,617,55,201,20181218,26,4,5,0
618,618,108,17,20210107,22,10,9,1
619,619,50,20,20200604,27,5,6,0
620,620,26,220,20210917,16,9,0,0
621,621,13,52,20201212,22,8,3,0
622,622,58,30,20191002,8,1,6,0
623,623,21,197,20181220,14,7,5,0
624,624,92,138,20180518,7,3,8,0
625,625,76,164,20180704,21,6,1,0
626,626,133,56,20180727,5,0,9,0
627,627,47,53,20211217,12,2,3,0
628,628,30,147,20190707,9,2,8,0
629,629,11,203,20210514,15,1,6,0
630,630,18,209,20210413,15,0,7,0
631,631,111,215,20220329,13,5,5,0
632,632,19,140,20190510,8,5,0,0
633,633,43,135,20210228,12,7,5,0
634,634,92,3,20200625,7,10,6,0
635,635,20,168,20220621,8,5,5,0
636,636,38,229,20210225,14,6,7,0
637,637,52,230,20210903,23,2,2,0
638,638,31,214,20180206,27,4,10,0
639,639,43,231,20180825,0,1,7,0
640,640,149,170,20191028,24,2,8,0
641,641,47,88,20191124,22,3,2,0
642,642,21,83,20200702,12,5,9,0
643,643,37,176,20190411,21,3,6,0
644,644,63,108,20191207,17,10,10,1
645,645,20,48,20220112,7,2,7,0
646,646,9,232,20180816,5,6,7,0
647,647,103,220,20200816,18,4,6,0
648,648,58,88,20200703,0,3,3,0
649,649,99,56,20190902,30,1,10,0
650,650,42,54,20200722,29,0,4,0
651,651,113,171,20211212,10,4,9,0
652,652,19,17,20210906,6,5,10,0
653,653,55,192,20180601,25,4,7,0
654,654,153,54,20190803,16,8,2,0
655,655,41,215,20181006,16,5,6,0
656,656,141,72,20200915,15,3,0,0
657,657,33,93,20181217,28,4,5,0
658,658,27,165,20181216,4,4,1,0
659,659,9,52,20181101,19,9,3,0
660,660,99,163,20190618,1,9,4,0
661,661,162,60,20211125,26,0,0,0
662,662,48,122,20211222,22,8,3,0
663,663,2,207,20191216,18,7,3,0
664,664,40,34,20210830,29,5,8,0
665,665,123,28,20190703,4,8,3,0
666,666,113,176,20201109,2,9,0,0
667,667,10,233,20191021,17,1,1,0
668,668,80,220,20211107,2,10,10,1
669,669,92,178,20190611,0,2,5,0
670,670,16,9,20210727,21,9,2,0
671,671,132,69,20180624,8,1,3,0
672,672,42,134,20211007,18,5,10,0
673,673,128,233,20191015,24,7,2,0
674,674,122,26,20181216,25,5,6,0
675,675,136,234,20200223,28,0,1,0
676,676,59,17,20220510,19,1,5,0
677,677,19,58,20190715,28,8,6,0
678,678,140,122,20211230,29,7,6,0
679,679,70,209,20200828,20,8,8,1
680,680,137,235,20201123,27,7,8,1
681,681,97,3,20191005,27,2,4,0
682,682,135,115,20190507,1,3,4,0
683,683,150,26,20180804,18,5,7,0
684,684,57,46,20210205,24,1,0,0
685,685,66,196,20210826,3,6,8,0
686,686,131,75,20191230,22,2,6,0
687,687,158,130,20210216,16,3,10,0
688,688,45,9,20180606,17,1,2,0
689,689,76,211,20210228,10,4,8,0
690,690,44,235,20210315,29,1,4,0
691,691,46,144,20180216,19,9,8,1
692,692,108,194,20180427,29,3,9,0
693,693,43,142,20210124,24,5,4,0
694,694,3,7,20210116,8,0,8,0
